Program Stream,Province/Territory,Employer,Address,Occupation,Code,Job Title,Incorporate Status,Approved LMIAs,Approved Positions,Quarter
   Low Wage,Newfoundland and Labrador,Awesome Enterprises Ltd,"Mount Pearl, NL A1N 3J5","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,3
   Low Wage,Newfoundland and Labrador,BJH Enterprises Inc.,"St. John's, NL A1B 3R4",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Newfoundland and Labrador,BSM Investments Inc.,"Conception Bay South, NL A1X 0C8",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Newfoundland and Labrador,Burton's Adventure Ltd,"St John's, NL A1H 1A1","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,3.0,3
   Low Wage,Newfoundland and Labrador,Coastline Adventures Inc,"Kings Point, NL A0J 1H0","9619-Other labourers in processing, manufacturing and utilities",9619,"Other labourers in processing, manufacturing and utilities",Unknown,1.0,4.0,3
   Low Wage,Newfoundland and Labrador,ELH Enterprises Inc,"Corner Brook, NL A2H 5L8",6322-Cooks,6322,Cooks,Unknown,1.0,2.0,3
   Low Wage,Newfoundland and Labrador,ELH Enterprises Inc,"Corner Brook, NL A2H 5L8","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,3
   Low Wage,Newfoundland and Labrador,GOULDS FOODS INC,"PORTUGAL COVE ST PHILIPS, NL A1M 1E3",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Newfoundland and Labrador,Hermitage Processing Inc.,"Hermitage, NL A0H 1S0",9463-Fish and seafood plant workers,9463,Fish and seafood plant workers,Unknown,1.0,12.0,3
   Low Wage,Newfoundland and Labrador,J.Co Holdings Inc.,"St. John's, NL A1B 3R2","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,3
   Low Wage,Newfoundland and Labrador,MiKe Davis Signs Ltd.,"Mount Pearl, NL A1N 5E8",7535-Other automotive mechanical installers and servicers,7535,Other automotive mechanical installers and servicers,Unknown,1.0,2.0,3
   Low Wage,Newfoundland and Labrador,Sexton Lumber Co. Limited,"Bloomfield, NL A0C 1A0","9614-Labourers in wood, pulp and paper processing",9614,"Labourers in wood, pulp and paper processing",Unknown,1.0,20.0,3
   Low Wage,Newfoundland and Labrador,Sunnyslope Foods Inc,"Torbay, NL A1K 1G3",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,3
   Low Wage,Newfoundland and Labrador,Sunnyslope Foods Inc,"Torbay, NL A1K 1G3","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,3.0,3
   Low Wage,Newfoundland and Labrador,Vatcher Restaurant Inc,"Corner Brook, NL A2H 2Y6","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,3
  Primary Agriculture,Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1.0,3.0,3
  Primary Agriculture,Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",8431-General farm workers,8431,General farm workers,Unknown,1.0,3.0,3
  Primary Agriculture,Newfoundland and Labrador,Munn Poultry Farm Limited,"ST. JOHN'S, NL A1E 2C2",8431-General farm workers,8431,General farm workers,Unknown,1.0,5.0,3
  Primary Agriculture,Newfoundland and Labrador,Sunrise Dairy Ltd,"Musgravetwon, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1.0,2.0,3
    High Wage,Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Clyde River, PE C0A 1H3",7511-Transport truck drivers,7511,Transport truck drivers,Unknown,1.0,15.0,3
    High Wage,Prince Edward Island,Diversified Divers Inc,"Hazelbrook, PE C1B 0R9","7384-Other trades and related occupations, n.e.c.",7384,"Other trades and related occupations, n.e.c.",Unknown,1.0,1.0,3
    High Wage,Prince Edward Island,Flourish Construction Ltd.,"Stratford, PE C1B 0E6",2231-Civil engineering technologists and technicians,2231,Civil engineering technologists and technicians,Unknown,1.0,1.0,3
    High Wage,Prince Edward Island,Garland Construction Inc.,"Charlottetown, PE C1E 0M6",7291-Roofers and shinglers,7291,Roofers and shinglers,Unknown,1.0,1.0,3
   Low Wage,Prince Edward Island,100066 PEI INC,"summerside, PE C1N 4Y8",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Prince Edward Island,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Prince Edward Island,11865498 CANADA INC.,"Charlottetown, PE C1A 6B2",6322-Cooks,6322,Cooks,Unknown,1.0,2.0,3
   Low Wage,Prince Edward Island,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",6331,"Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1.0,15.0,3
   Low Wage,Prince Edward Island,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown, PE C1A 4M9",6322-Cooks,6322,Cooks,Unknown,1.0,2.0,3
   Low Wage,Prince Edward Island,DRM COMPANY LTD.,"Charlottetown, PE C1A 4N2",6332-Bakers,6332,Bakers,Unknown,1.0,4.0,3
   Low Wage,Prince Edward Island,DRM COMPANY LTD.,"Charlottetown, PE C1A 4N2","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,6.0,3
   Low Wage,Prince Edward Island,KILDARE FISHERIES LTD,"Alberton, PE C0B 1B0",9463-Fish and seafood plant workers,9463,Fish and seafood plant workers,Unknown,1.0,100.0,3
   Low Wage,Prince Edward Island,L&C Fisheries Inc,"French River, PE C0B 1M0",9463-Fish and seafood plant workers,9463,Fish and seafood plant workers,Unknown,1.0,8.0,3
   Low Wage,Prince Edward Island,PEI MUSSEL FARMS INC,"MORELL, PE C0A 1S0",8613-Aquaculture and marine harvest labourers,8613,Aquaculture and marine harvest labourers,Unknown,1.0,10.0,3
   Low Wage,Prince Edward Island,PEI Mussel King Inc.,"MORELL, PE C0A 1S0",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Unknown,1.0,12.0,3
   Low Wage,Prince Edward Island,Piccottcare Familia Services Inc.,"Charlottetown, PE C1A 0E3",6731-Light duty cleaners,6731,Light duty cleaners,Unknown,3.0,3.0,3
   Low Wage,Prince Edward Island,Prince Edward Island Coffee Inc,"Charlottetown, PE C1A 4A4",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
  Primary Agriculture,Prince Edward Island,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,8431,General farm workers,Unknown,2.0,5.0,3
  Primary Agriculture,Prince Edward Island,7035233 Canada Inc.,"Mount Stewart, PE C0A 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1.0,3.0,3
  Primary Agriculture,Prince Edward Island,Arlington Orchards Inc,"arlington, PE C0B 1Y0",8431-General farm workers,8431,General farm workers,Unknown,1.0,4.0,3
  Primary Agriculture,Prince Edward Island,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",8431-General farm workers,8431,General farm workers,Unknown,1.0,10.0,3
  Primary Agriculture,Prince Edward Island,Birch Farms Ltd.,"Summerside, PE C1N 4J9",8431-General farm workers,8431,General farm workers,Unknown,1.0,5.0,3
  Primary Agriculture,Prince Edward Island,BUNNY BURROW VEGETABLE CO. LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,8431,General farm workers,Unknown,1.0,2.0,3
  Primary Agriculture,Prince Edward Island,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,8431,General farm workers,Unknown,2.0,4.0,3
  Primary Agriculture,Prince Edward Island,Eastern Farms Ltd.,"Pownal, PE C1B 3S5",8431-General farm workers,8431,General farm workers,Unknown,1.0,1.0,3
  Primary Agriculture,Prince Edward Island,Extondale Farms Ltd.,"Oyster Bed, PE C1E 0L9",8431-General farm workers,8431,General farm workers,Unknown,1.0,2.0,3
  Primary Agriculture,Prince Edward Island,Hakkers Produce Inc,"BELFAST, PE C0A 1A0",8431-General farm workers,8431,General farm workers,Unknown,1.0,12.0,3
  Primary Agriculture,Prince Edward Island,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",8431-General farm workers,8431,General farm workers,Unknown,1.0,2.0,3
  Primary Agriculture,Prince Edward Island,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",8431-General farm workers,8431,General farm workers,Corporation,1.0,12.0,3
  Primary Agriculture,Prince Edward Island,King's County Pork Inc.,"Montague, PE C0A 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,2.0,2.0,3
  Primary Agriculture,Prince Edward Island,King's County Pork Inc.,"Montague, PE C0A 1R0",8431-General farm workers,8431,General farm workers,Unknown,1.0,1.0,3
  Primary Agriculture,Prince Edward Island,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",8431-General farm workers,8431,General farm workers,Unknown,1.0,3.0,3
  Primary Agriculture,Prince Edward Island,Middleton Farms Ltd,"Kinkora, PE C0B 1N0",8431-General farm workers,8431,General farm workers,Unknown,1.0,2.0,3
  Primary Agriculture,Prince Edward Island,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,8431,General farm workers,Unknown,5.0,6.0,3
  Primary Agriculture,Prince Edward Island,Smith Farms Ltd.,"Kinkora, PE C0B 1N0",8431-General farm workers,8431,General farm workers,Unknown,1.0,6.0,3
  Primary Agriculture,Prince Edward Island,Valley Grove Enterprises Ltd,"Kensington, PE C0B 1M0",8431-General farm workers,8431,General farm workers,Unknown,1.0,3.0,3
  Primary Agriculture,Prince Edward Island,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,8431,General farm workers,Unknown,3.0,63.0,3
  Primary Agriculture,Prince Edward Island,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,8431,General farm workers,Unknown,1.0,3.0,3
  Primary Agriculture,Prince Edward Island,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-General farm workers,8431,General farm workers,Unknown,2.0,16.0,3
 Global Talent Stream,Prince Edward Island,101603 PEI Inc.,"Charlottetown, PE C1A 4B6",2173-Software engineers and designers,2173,Software engineers and designers,Unknown,1.0,1.0,3
 Global Talent Stream,Prince Edward Island,"MAXIMUS Canada Services, Inc.","Charlottetown, PE C1A 4K9",2172-Database analysts and data administrators,2172,Database analysts and data administrators,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,10094277 Canada Inc,"Halifax, NS B3J 2T9",2175-Web designers and developers,2175,Web designers and developers,Unknown,1.0,2.0,3
    High Wage,Nova Scotia,Acadian Seaplants Limited,"Dartmouth, NS B3B 1X8",2121-Biologists and related scientists,2121,Biologists and related scientists,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,ATLANTIC QUALITY PAINTING AND MAINTENANCE SERVICES LTD.,"Halifax, NS B3T 1H1",6731-Light duty cleaners,6731,Light duty cleaners,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,BTTC (Canada) Incorporated,"Halifax, NS B3J 3R7",1122-Professional occupations in business management consulting,1122,Professional occupations in business management consulting,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Chedabucto Log Home Construction LTD,"Boylston, NS B0H 1G0",7271-Carpenters,7271,Carpenters,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,CONNORS TRANSFER LIMITED,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,7511,Transport truck drivers,Unknown,1.0,20.0,3
    High Wage,Nova Scotia,Darr Welding and Fabricating Limited,"Halifax, NS B0J 2L0",2231-Civil engineering technologists and technicians,2231,Civil engineering technologists and technicians,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,FIRST GENERAL SERVICES (HALIFAX) LTD.,"Dartmouth, NS B3B 1W2",7611-Construction trades helpers and labourers,7611,Construction trades helpers and labourers,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Genius Automotive Inc,"Truro, NS B2N 1B2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1.0,3.0,3
    High Wage,Nova Scotia,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,0211,Engineering managers,Unknown,3.0,3.0,3
    High Wage,Nova Scotia,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Manufacturing managers,0911,Manufacturing managers,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2141-Industrial and manufacturing engineers,2141,Industrial and manufacturing engineers,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2171-Information systems analysts and consultants,2171,Information systems analysts and consultants,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Olde Town Hills Community Limited,"Bedford, NS B4A 1E5",0601-Corporate sales managers,0601,Corporate sales managers,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Portland Custom Millwork Limited,"Dartmouth, NS B3B 1S3",2252-Industrial designers,2252,Industrial designers,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Quality Blasting & Coating Limited,"Dartmouth, NS B2Y 4W6","9536-Industrial painters, coaters and metal finishing process operators",9536,"Industrial painters, coaters and metal finishing process operators",Unknown,1.0,10.0,3
    High Wage,Nova Scotia,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",6331,"Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1.0,2.0,3
    High Wage,Nova Scotia,Supreme Investement Ltd,"Bedford, NS B4A 1E4",1221-Administrative officers,1221,Administrative officers,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Ubique Networks Inc.,"Sydney, NS B1P 1J7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",0015,"Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Whitestone Building and Renovations Ltd.,"Halifax, NS B3T 1A2",7271-Carpenters,7271,Carpenters,Unknown,1.0,1.0,3
    High Wage,Nova Scotia,Zutphen Equipment Inc.,"South West Mabou, NS B0E 1X0",7312-Heavy-duty equipment mechanics,7312,Heavy-duty equipment mechanics,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,10656330 Canada Inc.,"Bedford, NS B4B 1G7",1311-Accounting technicians and bookkeepers,1311,Accounting technicians and bookkeepers,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,11336690 Canada Inc.,"Dartmouth, NS B3B 1T3",7511-Transport truck drivers,7511,Transport truck drivers,Unknown,1.0,4.0,3
   Low Wage,Nova Scotia,1213461 Ontario Limited,"Middleton, NS B0S 1P0","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,1950740 Ontario Limited,"Dartmouth, NS B2X 1R5",0631-Restaurant and food service managers,0631,Restaurant and food service managers,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,1950740 Ontario Limited,"Dartmouth, NS B2X 1R5",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,3091914 NS LTD,"HALIFAX, NS B3K 1H8",6525-Hotel front desk clerks,6525,Hotel front desk clerks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,3094037 Nova Scotia Limited,"Bedford, NS B4A 3Y4",6322-Cooks,6322,Cooks,Unknown,1.0,3.0,3
   Low Wage,Nova Scotia,3287893 Nova Scotia Limited,"HALIFAX, NS B3J 0J1",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,3292516 Nova Scotia Ltd.,"HAMMONDS PLAINS, NS B4B 1B4","6331-Butchers, meat cutters and fishmongers - retail and wholesale",6331,"Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1.0,3.0,3
   Low Wage,Nova Scotia,3298225 NOVA SCOTIA LIMITED,"BEAVER BANK, NS B4G 1E8",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,3322016 Nova Scotia limited,"Bridgewater, NS B4V 1A9",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,3331445 Nova Scotia Limited,"Halifax, NS B3M 3W8",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,3334892 NOVA SCOTIA LIMITED,"BEDFORD, NS B4B 2E6","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,3339910 NOVA SCOTIA LIMITED,"Halifax, NS B3N 2R8",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,631629 NB Inc,"Dartmouth, NS B3B 1X7","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,4.0,3
   Low Wage,Nova Scotia,631629 NB Inc,"Dartmouth, NS B3B 1X7",6731-Light duty cleaners,6731,Light duty cleaners,Unknown,1.0,10.0,3
   Low Wage,Nova Scotia,653349 N.B. Inc.,"Amherst, NS B4H 4R7",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,3.0,3
   Low Wage,Nova Scotia,A & D Services Ltd.,"New Minas, NS B4N 3K9",6322-Cooks,6322,Cooks,Unknown,1.0,2.0,3
   Low Wage,Nova Scotia,Adam SG Enterprises Limited,"Lunenburg, NS B0J 2C0",6322-Cooks,6322,Cooks,Unknown,1.0,4.0,3
   Low Wage,Nova Scotia,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",6311-Food service supervisors,6311,Food service supervisors,Unknown,5.0,11.0,3
   Low Wage,Nova Scotia,Adcor Marketing Limited,"yarmouth, NS B5A 2T6","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,2.0,8.0,3
   Low Wage,Nova Scotia,Atlantic Hardchrome Limited,"Dartmouth, NS B3B 1N2",9417-Machining tool operators,9417,Machining tool operators,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,ATLANTIC QUALITY PAINTING AND MAINTENANCE SERVICES LTD.,"Halifax, NS B3T 1H1",6315-Cleaning supervisors,6315,Cleaning supervisors,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,ATLANTIC QUALITY PAINTING AND MAINTENANCE SERVICES LTD.,"Halifax, NS B3T 1H1",7294-Painters and decorators (except interior decorators),7294,Painters and decorators (except interior decorators),Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Bakeco Management Inc,"Eastern Passage, NS B3G 1M6",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Benco Foods Limited,"Upper Tantallon, NS B3Z 1H3",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Blue Elephant Thai Restaurant,"Bedford, NS B3M 0G2",6322-Cooks,6322,Cooks,Unknown,2.0,2.0,3
   Low Wage,Nova Scotia,BMC Seafoods Limited,"Meteghan, NS B0W 2J0",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Unknown,1.0,20.0,3
   Low Wage,Nova Scotia,Brandner Investments Ltd,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",6322-Cooks,6322,Cooks,Unknown,1.0,3.0,3
   Low Wage,Nova Scotia,DRIFT RESTAURANT GROUP LIMITED PARTNERSHIP,"Halifax, NS B3J 1S5",6322-Cooks,6322,Cooks,Unknown,1.0,21.0,3
   Low Wage,Nova Scotia,Fisherman's Market International Incorporated,"Halifax, NS B3M 2L6",9463-Fish and seafood plant workers,9463,Fish and seafood plant workers,Unknown,1.0,11.0,3
   Low Wage,Nova Scotia,Fisherman's Market International Incorporated,"Halifax, NS B3M 2L6",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Unknown,2.0,21.0,3
   Low Wage,Nova Scotia,Grace Murray Inc,"Bridgewater, NS B4V 7P4",6322-Cooks,6322,Cooks,Unknown,1.0,2.0,3
   Low Wage,Nova Scotia,Happy Veal Hot Pot Ltd.,"Halifax, NS B3J 2K9",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Hong Sheng International Ltd.,"Halifax, NS B3S 1C8",6322-Cooks,6322,Cooks,Unknown,1.0,5.0,3
   Low Wage,Nova Scotia,JE Bembridge Enterprise Ltd,"amherst, NS B4H 3E4",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Jibro Enterprise Inc,"Halifax, NS B3J 3T1",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,LEI FONG HONG GOODS DISTRIBUTOR INC.,"HALIFAX, NS B3J 3K3",7452-Material handlers,7452,Material handlers,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Les Entreprises Samson Enterprises Ltee,"Petit De Grat, NS B0E 2L0","9535-Plastic products assemblers, finishers and inspectors",9535,"Plastic products assemblers, finishers and inspectors",Unknown,1.0,10.0,3
   Low Wage,Nova Scotia,LIGHTHOUSE RESTAURANT LIMITED,"ANTIGONISH, NS B2G 2L4",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Lobsterboys SH Ltd,"Shag Harbour, NS B0W 3B0",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Unknown,1.0,10.0,3
   Low Wage,Nova Scotia,Long Point Lobster & Seafood Limited,"NEWELLTON, NS B0W 1P0",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Unknown,1.0,6.0,3
   Low Wage,Nova Scotia,Louisbourg Seafoods Limited,"Louisbourg, NS B1C 1B5",9463-Fish and seafood plant workers,9463,Fish and seafood plant workers,Unknown,1.0,20.0,3
   Low Wage,Nova Scotia,M.J.N.J Investments Ltd,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,6311,Food service supervisors,Unknown,7.0,10.0,3
   Low Wage,Nova Scotia,M.J.N.J Investments Ltd,"Lunenburg, NS B0J 2C0","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,3.0,12.0,3
   Low Wage,Nova Scotia,MCLEAN'S SERVICE CENTER LIMITED,"Newport, NS B0N 2A0",6421-Retail salespersons,6421,Retail salespersons,Unknown,1.0,2.0,3
   Low Wage,Nova Scotia,Mic-mac beverage room (2006) ltd,"Dartmouth, NS B2X 2C3",6322-Cooks,6322,Cooks,Unknown,1.0,6.0,3
   Low Wage,Nova Scotia,naan n curry Restaurant LTD,"Halifax, NS B3L 4N2",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,New Indian Bazaar Inc,"Halifax, NS B3S 1B3",6211-Retail sales supervisors,6211,Retail sales supervisors,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,NS KT Foods Inc.,"Halifax, NS B3L 2H8",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,NS KT Foods Inc.,"Halifax, NS B3L 2H8","6711-Food counter attendants, kitchen helpers and related support occupations",6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,3
   Low Wage,Nova Scotia,QUEEN AND CABLE LIMITED PARTNERSHIP,"Halifax, NS B3J 0J2",6322-Cooks,6322,Cooks,Unknown,1.0,13.0,3
   Low Wage,Nova Scotia,R.L. Dunlap (2019) Limited,"East Mountain, NS B6L 2N6",6731-Light duty cleaners,6731,Light duty cleaners,Unknown,1.0,2.0,3
   Low Wage,Nova Scotia,RANDY'S PIZZA & DONAIR - LOWER SACKVILLE,"Lower Sackville, NS B4C 2S4",6322-Cooks,6322,Cooks,Unknown,1.0,3.0,3
   Low Wage,Nova Scotia,SAWLUTIONS INC.,"Dartmouth, NS B3B 1Z1",7452-Material handlers,7452,Material handlers,Unknown,1.0,1.0,3
   Low Wage,Nova Scotia,Sydney Fresh Casual Restaurants Inc.,"Sydney, NS B1P 5S8",6322-Cooks,6322,Cooks,Unknown,1.0,2.0,3
